,LR vs NN,LR vs NN,LR vs NN,LR vs BL,LR vs BL,LR vs BL,NN vs BL,NN vs BL,NN vs BL
,t-test,p-value,Confidenctial Interval,t-test,p-value,Confidenctial Interval,t-test,p-value,Confidenctial Interval
KFold,,,,,,,,,
1,2.447326626965318,0.014454823726514493,"[0.008776087438059155, 0.010268520439672168]",-63.99231084883847,0.0,"[-0.10757401696666631, -0.10217846818939295]",-63.99231084883847,0.0,"[-0.10757401696666631, -0.10217846818939295]"
2,8.935487973343403,7.30490064226103e-19,"[0.0034651586386413667, 0.003904139849260321]",25.550025145431544,3.0318427577005634e-129,"[-0.01736224617692988, -0.015525562801627708]",25.550025145431544,3.0318427577005634e-129,"[-0.01736224617692988, -0.015525562801627708]"
3,-16.67256027474486,1.6836120373439876e-59,"[0.010373731046760393, 0.011351975709354567]",71.25609451780637,0.0,"[-0.12885512563410725, -0.1205121263581184]",71.25609451780637,0.0,"[-0.12885512563410725, -0.1205121263581184]"
4,121.2222629154853,0.0,"[0.008718168594340815, 0.009230216733713614]",10.64750176015849,5.7672838138824e-26,"[-0.008242343496957539, -0.006486194263717415]",10.64750176015849,5.7672838138824e-26,"[-0.008242343496957539, -0.006486194263717415]"
5,168.56836305735533,0.0,"[0.010425110135281294, 0.010818400632536203]",-11.14215078704839,3.1608622654004256e-28,"[-0.014164980876255631, -0.012143380564641357]",-11.14215078704839,3.1608622654004256e-28,"[-0.014164980876255631, -0.012143380564641357]"
