,LogisticRegression,LogisticRegression,DummyClassifier,DummyClassifier,MLPClassifier,MLPClassifier
,Param. Value,Error,Param. Value,Error,Param. Value,Error
KFold,,,,,,
1,0.07,0.02671118530884808,,0.7737896494156928,"(16,)",0.02587646076794658
2,0.07,0.035058430717863104,,0.7929883138564274,"(16,)",0.035058430717863104
3,0.07,0.037562604340567615,,0.7829716193656093,"(16,)",0.0325542570951586
4,0.04,0.037562604340567615,,0.7946577629382304,"(20,)",0.0333889816360601
5,0.07,0.028380634390651086,,0.7771285475792988,"(8,)",0.02671118530884808
6,0.07,0.03005008347245409,,0.7746243739565943,"(16,)",0.03005008347245409
7,0.02,0.0325542570951586,,0.7762938230383973,"(20,)",0.03005008347245409
8,0.07,0.034223706176961605,,0.7762938230383973,"(16,)",0.03589315525876461
9,0.07,0.03171953255425709,,0.7787979966611018,"(20,)",0.02921535893155259
10,0.07,0.02921535893155259,,0.7787979966611018,"(16,)",0.030884808013355594
